OTU ,Taxa,Kingdom,Phylum,Class,Order,Family,Genus,Species
1167,"d:Eukaryota(1.0000),p:Ciliophora(0.7564),c:Intramacronucleata(0.7942),o:Spirotrichea(0.7824),f:Oligotrichia(0.2278),g:Strombidium(0.0628)",Eukaryota,Ciliophora,Intramacronucleata,Spirotrichea,Oligotrichia,Strombidium,
1168,"d:Eukaryota(1.0000),p:Ochrophyta(0.5650),c:Diatomea(0.4036),o:Bacillariophytina(0.1805),f:Bacillariophyceae(0.0946),g:Nitzschia(0.0298)",Eukaryota,Ochrophyta,Diatomea,Bacillariophytina,Bacillariophyceae,Nitzschia,
1169,"d:Eukaryota(0.8994),p:Dinoflagellata(0.1858),c:Dinophyceae(0.1026),o:Gymnodiniphycidae(0.0178),f:Gymnodinium_clade(0.0073),g:Gymnodinium(0.0017)",Eukaryota,Dinoflagellata,Dinophyceae,Gymnodiniphycidae,Gymnodinium_clade,Gymnodinium,
1170,"d:Eukaryota(0.8090),p:Ciliophora(0.1725),c:Intramacronucleata(0.0948),o:Spirotrichea(0.0167),f:Unknown_Family_1003834(0.0067),g:Unknown_Genus_1001751(0.0017)",Eukaryota,Ciliophora,Intramacronucleata,Spirotrichea,Unknown_Family_1003834,Unknown_Genus_1001751,
1171,"d:Eukaryota(0.8542),p:Ochrophyta(0.2125),c:Diatomea(0.1181),o:Bacillariophytina(0.0178),f:Bacillariophyceae(0.0073),g:Nitzschia(0.0017)",Eukaryota,Ochrophyta,Diatomea,Bacillariophytina,Bacillariophyceae,Nitzschia,
1172,"d:Eukaryota(0.5603),p:Ochrophyta(0.1192),c:Diatomea(0.0637),o:Bacillariophytina(0.0123),f:Bacillariophyceae(0.0039),g:Fragilariopsis(0.0013)",Eukaryota,Ochrophyta,Diatomea,Bacillariophytina,Bacillariophyceae,Fragilariopsis,
1173,"d:Eukaryota(0.7864),p:Ochrophyta(0.1725),c:Diatomea(0.0948),o:Bacillariophytina(0.0167),f:Bacillariophyceae(0.0067),g:Nitzschia(0.0016)",Eukaryota,Ochrophyta,Diatomea,Bacillariophytina,Bacillariophyceae,Nitzschia,
1174,"d:Eukaryota(0.3116),p:Ciliophora(0.0265),c:Intramacronucleata(0.0115),o:Spirotrichea(0.0046),f:Hypotrichia(0.0006),g:Pseudokeronopsis(0.0008)",Eukaryota,Ciliophora,Intramacronucleata,Spirotrichea,Hypotrichia,Pseudokeronopsis,
1175,"d:Eukaryota(0.7411),p:Ciliophora(0.1458),c:Intramacronucleata(0.0793),o:Spirotrichea(0.0145),f:Euplotia(0.0056),g:Diophrys(0.0015)",Eukaryota,Ciliophora,Intramacronucleata,Spirotrichea,Euplotia,Diophrys,
1176,"d:Eukaryota(0.9446),p:Cnidaria(0.2125),c:Hydrozoa(0.1181),o:Narcomedusae(0.0201),f:Unknown_Family_1003276(0.0084),g:Unknown_Genus_1001573(0.0019)",Eukaryota,Cnidaria,Hydrozoa,Narcomedusae,Unknown_Family_1003276,Unknown_Genus_1001573,
1177,"d:Eukaryota(0.7864),p:Ochrophyta(0.2717),c:Diatomea(0.1635),o:Bacillariophytina(0.0167),f:Bacillariophyceae(0.0067),g:Nitzschia(0.0017)",Eukaryota,Ochrophyta,Diatomea,Bacillariophytina,Bacillariophyceae,Nitzschia,
1178,"d:Eukaryota(0.8994),p:Ochrophyta(0.2888),c:Diatomea(0.1798),o:Bacillariophytina(0.0201),f:Bacillariophyceae(0.0084),g:Nitzschia(0.0019)",Eukaryota,Ochrophyta,Diatomea,Bacillariophytina,Bacillariophyceae,Nitzschia,
1179,"d:Eukaryota(0.7864),p:Cnidaria(0.1592),c:Anthozoa(0.0870),o:Actiniaria(0.0156),f:Unknown_Family_1003256(0.0061),g:Unknown_Genus_1001555(0.0016)",Eukaryota,Cnidaria,Anthozoa,Actiniaria,Unknown_Family_1003256,Unknown_Genus_1001555,
1180,"d:Eukaryota(0.7864),p:Basidiomycota(0.1592),c:Agaricomycetes(0.0870),o:Trechisporales(0.0156),f:Hydnodontaceae(0.0061),g:uncultured_8267(0.0016)",Eukaryota,Basidiomycota,Agaricomycetes,Trechisporales,Hydnodontaceae,uncultured_8267,
1181,"d:Eukaryota(0.8994),p:Protalveolata(0.1858),c:Syndiniales(0.1026),o:Unknown_Order_1003905(0.0178),f:Syndiniales_Group_III(0.0073),g:Unknown_Genus_1001803(0.0017)",Eukaryota,Protalveolata,Syndiniales,Unknown_Order_1003905,Syndiniales_Group_III,Unknown_Genus_1001803,
1182,"d:Eukaryota(1.0000),p:Florideophycidae(0.6278),c:Rhodymeniophycidae(0.2288),o:Unknown_Order_1003051(0.1287),f:Unknown_Family_1003052(0.0670),g:Betaphycus(0.0091)",Eukaryota,Florideophycidae,Rhodymeniophycidae,Unknown_Order_1003051,Unknown_Family_1003052,Betaphycus,
1183,"d:Eukaryota(0.6959),p:Ochrophyta(0.1325),c:Diatomea(0.0715),o:Coscinodiscophytina(0.0134),f:Fragilariales(0.0050),g:Licmophora(0.0015)",Eukaryota,Ochrophyta,Diatomea,Coscinodiscophytina,Fragilariales,Licmophora,
1184,"d:Eukaryota(0.6281),p:Dinoflagellata(0.1192),c:Dinophyceae(0.0559),o:SL163A10(0.0112),f:Unknown_Family_1003863(0.0039),g:Unknown_Genus_1001783(0.0013)",Eukaryota,Dinoflagellata,Dinophyceae,SL163A10,Unknown_Family_1003863,Unknown_Genus_1001783,
1185,"d:Eukaryota(1.0000),p:Ochrophyta(0.5113),c:Chrysophyceae(0.3267),o:Synurales(0.2323),f:Unknown_Family_1004204(0.1223),g:Mallomonas(0.0387)",Eukaryota,Ochrophyta,Chrysophyceae,Synurales,Unknown_Family_1004204,Mallomonas,
1186,"d:Eukaryota(1.0000),p:Unknown_Phylum_1002968(0.2392),c:Trebouxiophyceae(0.1337),o:Unknown_Order_1003009(0.0252),f:Unknown_Family_1003010(0.0117),g:Unknown_Genus_1001104(0.0032)",Eukaryota,Unknown_Phylum_1002968,Trebouxiophyceae,Unknown_Order_1003009,Unknown_Family_1003010,Unknown_Genus_1001104,
1187,"d:Eukaryota(0.9672),p:Ciliophora(0.2125),c:Intramacronucleata(0.1181),o:Spirotrichea(0.0201),f:Hypotrichia(0.0084),g:Uronychia(0.0019)",Eukaryota,Ciliophora,Intramacronucleata,Spirotrichea,Hypotrichia,Uronychia,
1188,"d:Eukaryota(0.7185),p:Ciliophora(0.1325),c:Intramacronucleata(0.0715),o:Spirotrichea(0.0134),f:Euplotia(0.0050),g:Diophrys(0.0015)",Eukaryota,Ciliophora,Intramacronucleata,Spirotrichea,Euplotia,Diophrys,
1189,"d:Eukaryota(0.7185),p:Ciliophora(0.1325),c:Intramacronucleata(0.0715),o:Spirotrichea(0.0134),f:Euplotia(0.0050),g:Discocephalus(0.0015)",Eukaryota,Ciliophora,Intramacronucleata,Spirotrichea,Euplotia,Discocephalus,
1190,"d:Eukaryota(1.0000),p:Ochrophyta(0.7100),c:Diatomea(0.7732),o:Coscinodiscophytina(0.2803),f:Fragilariales(0.1504),g:Licmophora(0.0507)",Eukaryota,Ochrophyta,Diatomea,Coscinodiscophytina,Fragilariales,Licmophora,
1191,"d:Eukaryota(0.4020),p:Ciliophora(0.0392),c:Intramacronucleata(0.0171),o:Spirotrichea(0.0056),f:Hypotrichia(0.0010),g:Unknown_Genus_1001753(0.0010)",Eukaryota,Ciliophora,Intramacronucleata,Spirotrichea,Hypotrichia,Unknown_Genus_1001753,
1192,"d:Eukaryota(0.9446),p:Ochrophyta(0.2392),c:Diatomea(0.1259),o:Bacillariophytina(0.0201),f:Bacillariophyceae(0.0084),g:Nitzschia(0.0018)",Eukaryota,Ochrophyta,Diatomea,Bacillariophytina,Bacillariophyceae,Nitzschia,
1193,"d:Eukaryota(1.0000),p:Cnidaria(0.2546),c:Anthozoa(0.1472),o:Actiniaria(0.0424),f:Unknown_Family_1003256(0.0209),g:Unknown_Genus_1001555(0.0062)",Eukaryota,Cnidaria,Anthozoa,Actiniaria,Unknown_Family_1003256,Unknown_Genus_1001555,
1194,"d:Eukaryota(0.8542),p:Ciliophora(0.2125),c:Intramacronucleata(0.1181),o:Spirotrichea(0.0201),f:Euplotia(0.0073),g:Diophrys(0.0017)",Eukaryota,Ciliophora,Intramacronucleata,Spirotrichea,Euplotia,Diophrys,
1195,"d:Eukaryota(0.6959),p:Discosea(0.1592),c:Longamoebia(0.0870),o:Centramoebida(0.0156),f:Unknown_Family_1002759(0.0061),g:Acanthamoeba(0.0016)",Eukaryota,Discosea,Longamoebia,Centramoebida,Unknown_Family_1002759,Acanthamoeba,
1196,"d:Eukaryota(1.0000),p:Dinoflagellata(0.2546),c:Dinophyceae(0.1472),o:Gymnodiniphycidae(0.0424),f:Gymnodinium_clade(0.0209),g:Spiniferodinium(0.0062)",Eukaryota,Dinoflagellata,Dinophyceae,Gymnodiniphycidae,Gymnodinium_clade,Spiniferodinium,
1197,"d:Eukaryota(1.0000),p:Ochrophyta(0.5648),c:Diatomea(0.4059),o:Bacillariophytina(0.1805),f:Bacillariophyceae(0.0946),g:Nitzschia(0.0298)",Eukaryota,Ochrophyta,Diatomea,Bacillariophytina,Bacillariophyceae,Nitzschia,
1198,"d:Eukaryota(1.0000),p:Annelida(0.2258),c:Polychaeta(0.1259),o:Phyllodocida(0.0212),f:Unknown_Family_1003320(0.0090),g:Unknown_Genus_1001197(0.0019)",Eukaryota,Annelida,Polychaeta,Phyllodocida,Unknown_Family_1003320,Unknown_Genus_1001197,
1199,"d:Eukaryota(0.8090),p:Dinoflagellata(0.1725),c:Dinophyceae(0.0948),o:Gymnodiniphycidae(0.0167),f:Suessiaceae(0.0067),g:Biecheleria(0.0017)",Eukaryota,Dinoflagellata,Dinophyceae,Gymnodiniphycidae,Suessiaceae,Biecheleria,
1200,"d:Eukaryota(1.0000),p:Ochrophyta(0.3231),c:Diatomea(0.2125),o:Bacillariophytina(0.0769),f:Bacillariophyceae(0.0394),g:Nitzschia(0.0062)",Eukaryota,Ochrophyta,Diatomea,Bacillariophytina,Bacillariophyceae,Nitzschia,
1201,"d:Eukaryota(0.0472),p:Nematoda(0.0021),c:Chromadorea(0.0009),o:Diplogasterida(0.0004),f:Unknown_Family_1003527(0.0001),g:Unknown_Genus_1001424(0.0001)",Eukaryota,Nematoda,Chromadorea,Diplogasterida,Unknown_Family_1003527,Unknown_Genus_1001424,
1202,"d:Eukaryota(0.3568),p:Apicomplexa(0.0392),c:Aconoidasida(0.0171),o:Piroplasmorida(0.0056),f:Unknown_Family_1003818(0.0010),g:Theileria(0.0010)",Eukaryota,Apicomplexa,Aconoidasida,Piroplasmorida,Unknown_Family_1003818,Theileria,
1203,"d:Eukaryota(0.4473),p:Ochrophyta(0.0525),c:Diatomea(0.0248),o:Bacillariophytina(0.0067),f:Mediophyceae(0.0016),g:Chaetoceros(0.0011)",Eukaryota,Ochrophyta,Diatomea,Bacillariophytina,Mediophyceae,Chaetoceros,
1204,"d:Eukaryota(0.6733),p:Basidiomycota(0.1325),c:Agaricomycetes(0.0715),o:Auriculariales(0.0134),f:Incertae_Sedis_13680(0.0050),g:Guepinia(0.0015)",Eukaryota,Basidiomycota,Agaricomycetes,Auriculariales,Incertae_Sedis_13680,Guepinia,
1205,"d:Eukaryota(0.9446),p:Ochrophyta(0.2546),c:Diatomea(0.1259),o:Bacillariophytina(0.0201),f:Bacillariophyceae(0.0084),g:Nitzschia(0.0019)",Eukaryota,Ochrophyta,Diatomea,Bacillariophytina,Bacillariophyceae,Nitzschia,
1206,"d:Eukaryota(0.7411),p:Ciliophora(0.1458),c:Intramacronucleata(0.0793),o:Spirotrichea(0.0145),f:Euplotia(0.0056),g:Diophrys(0.0015)",Eukaryota,Ciliophora,Intramacronucleata,Spirotrichea,Euplotia,Diophrys,
1207,"d:Eukaryota(0.6733),p:Ochrophyta(0.1458),c:Diatomea(0.0793),o:Bacillariophytina(0.0123),f:Bacillariophyceae(0.0044),g:Frustulia(0.0014)",Eukaryota,Ochrophyta,Diatomea,Bacillariophytina,Bacillariophyceae,Frustulia,
1208,"d:Eukaryota(0.8090),p:Ciliophora(0.1725),c:Intramacronucleata(0.0948),o:Spirotrichea(0.0167),f:Euplotia(0.0061),g:Discocephalus(0.0016)",Eukaryota,Ciliophora,Intramacronucleata,Spirotrichea,Euplotia,Discocephalus,
1209,"d:Eukaryota(0.7864),p:Ciliophora(0.1592),c:Intramacronucleata(0.0870),o:Spirotrichea(0.0156),f:Euplotia(0.0061),g:Discocephalus(0.0016)",Eukaryota,Ciliophora,Intramacronucleata,Spirotrichea,Euplotia,Discocephalus,
1210,"d:Eukaryota(0.9446),p:Ciliophora(0.2392),c:Intramacronucleata(0.1337),o:Spirotrichea(0.0212),f:Euplotia(0.0084),g:Diophrys(0.0019)",Eukaryota,Ciliophora,Intramacronucleata,Spirotrichea,Euplotia,Diophrys,
1211,"d:Eukaryota(1.0000),p:Ciliophora(0.7836),c:Intramacronucleata(0.8532),o:Spirotrichea(0.8393),f:Hypotrichia(0.2124),g:Parabistichella(0.0824)",Eukaryota,Ciliophora,Intramacronucleata,Spirotrichea,Hypotrichia,Parabistichella,
1212,"d:Eukaryota(0.2890),p:Basidiomycota(0.0225),c:Agaricomycetes(0.0097),o:Boletales(0.0039),f:Boletaceae(0.0005),g:Strobilomyces(0.0008)",Eukaryota,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Strobilomyces,
1213,"d:Eukaryota(0.7411),p:Cnidaria(0.1725),c:Anthozoa(0.0793),o:Actiniaria(0.0145),f:Unknown_Family_1003256(0.0056),g:Unknown_Genus_1001555(0.0015)",Eukaryota,Cnidaria,Anthozoa,Actiniaria,Unknown_Family_1003256,Unknown_Genus_1001555,
1214,"d:Eukaryota(0.9220),p:Ciliophora(0.1992),c:Intramacronucleata(0.1104),o:Spirotrichea(0.0189),f:Hypotrichia(0.0078),g:Uronychia(0.0018)",Eukaryota,Ciliophora,Intramacronucleata,Spirotrichea,Hypotrichia,Uronychia,
1215,"d:Eukaryota(1.0000),p:Dinoflagellata(0.2392),c:Dinophyceae(0.1337),o:Gymnodiniphycidae(0.0252),f:Unknown_Family_1003853(0.0117),g:Gyrodinium(0.0032)",Eukaryota,Dinoflagellata,Dinophyceae,Gymnodiniphycidae,Unknown_Family_1003853,Gyrodinium,
1216,"d:Eukaryota(0.8542),p:Cryptomonadales(0.1858),c:Unknown_Class_1003091(0.1026),o:Unknown_Order_1003092(0.0178),f:Unknown_Family_1003093(0.0073),g:Teleaulax(0.0017)",Eukaryota,Cryptomonadales,Unknown_Class_1003091,Unknown_Order_1003092,Unknown_Family_1003093,Teleaulax,
1217,"d:Eukaryota(0.8768),p:Basidiomycota(0.1992),c:Agaricomycetes(0.1104),o:Hymenochaetales(0.0189),f:Rickenellaceae(0.0078),g:Skvortzovia(0.0017)",Eukaryota,Basidiomycota,Agaricomycetes,Hymenochaetales,Rickenellaceae,Skvortzovia,
1218,"d:Eukaryota(0.9672),p:SGUH942(0.2125),c:Unknown_Class_1003913(0.1181),o:Unknown_Order_1003914(0.0201),f:Unknown_Family_1003915(0.0084),g:Unknown_Genus_1001807(0.0019)",Eukaryota,SGUH942,Unknown_Class_1003913,Unknown_Order_1003914,Unknown_Family_1003915,Unknown_Genus_1001807,
1219,"d:Eukaryota(0.6959),p:Dinoflagellata(0.1325),c:Dinophyceae(0.0715),o:Gymnodiniphycidae(0.0134),f:Suessiaceae(0.0050),g:Biecheleria(0.0015)",Eukaryota,Dinoflagellata,Dinophyceae,Gymnodiniphycidae,Suessiaceae,Biecheleria,
1220,"d:Eukaryota(0.7864),p:Dinoflagellata(0.1592),c:Dinophyceae(0.0870),o:Peridiniphycidae(0.0156),f:Thoracosphaeraceae(0.0061),g:Scrippsiella(0.0016)",Eukaryota,Dinoflagellata,Dinophyceae,Peridiniphycidae,Thoracosphaeraceae,Scrippsiella,
1221,"d:Eukaryota(1.0000),p:Ochrophyta(0.5284),c:Diatomea(0.3947),o:Bacillariophytina(0.1115),f:Bacillariophyceae(0.0578),g:Nitzschia(0.0180)",Eukaryota,Ochrophyta,Diatomea,Bacillariophytina,Bacillariophyceae,Nitzschia,
1222,"d:Eukaryota(1.0000),p:Ascomycota(0.3402),c:Sordariomycetes(0.2288),o:Sordariales(0.0769),f:Unknown_Family_1003777(0.0394),g:Unknown_Genus_1001664(0.0121)",Eukaryota,Ascomycota,Sordariomycetes,Sordariales,Unknown_Family_1003777,Unknown_Genus_1001664,
1223,"d:Eukaryota(0.7638),p:Dinoflagellata(0.1458),c:Dinophyceae(0.0793),o:Gymnodiniphycidae(0.0145),f:Suessiaceae(0.0056),g:Biecheleria(0.0015)",Eukaryota,Dinoflagellata,Dinophyceae,Gymnodiniphycidae,Suessiaceae,Biecheleria,
1224,"d:Eukaryota(1.0000),p:Protalveolata(0.2717),c:Syndiniales(0.1635),o:Unknown_Order_1003905(0.0597),f:Unknown_Family_1003906(0.0302),g:Amoebophrya(0.0091)",Eukaryota,Protalveolata,Syndiniales,Unknown_Order_1003905,Unknown_Family_1003906,Amoebophrya,
1225,"d:Eukaryota(0.7185),p:Ciliophora(0.1458),c:Intramacronucleata(0.0793),o:Spirotrichea(0.0145),f:Euplotia(0.0056),g:Diophrys(0.0015)",Eukaryota,Ciliophora,Intramacronucleata,Spirotrichea,Euplotia,Diophrys,
1226,"d:Eukaryota(0.8994),p:Ciliophora(0.2258),c:Intramacronucleata(0.1259),o:Spirotrichea(0.0201),f:Hypotrichia(0.0078),g:Anteholosticha(0.0017)",Eukaryota,Ciliophora,Intramacronucleata,Spirotrichea,Hypotrichia,Anteholosticha,
1227,"d:Eukaryota(0.6733),p:Ciliophora(0.1325),c:Intramacronucleata(0.0715),o:Spirotrichea(0.0134),f:Euplotia(0.0050),g:Diophrys(0.0014)",Eukaryota,Ciliophora,Intramacronucleata,Spirotrichea,Euplotia,Diophrys,
1228,"d:Eukaryota(0.8768),p:Cnidaria(0.1858),c:Anthozoa(0.1026),o:Actiniaria(0.0178),f:Unknown_Family_1003256(0.0073),g:Unknown_Genus_1001555(0.0017)",Eukaryota,Cnidaria,Anthozoa,Actiniaria,Unknown_Family_1003256,Unknown_Genus_1001555,
1229,"d:Eukaryota(0.3342),p:Ochrophyta(0.0265),c:Diatomea(0.0115),o:Bacillariophytina(0.0046),f:Mediophyceae(0.0006),g:Chaetoceros(0.0009)",Eukaryota,Ochrophyta,Diatomea,Bacillariophytina,Mediophyceae,Chaetoceros,
1230,"d:Eukaryota(1.0000),p:Ochrophyta(0.3744),c:Diatomea(0.2614),o:Bacillariophytina(0.0424),f:Bacillariophyceae(0.0209),g:Nitzschia(0.0062)",Eukaryota,Ochrophyta,Diatomea,Bacillariophytina,Bacillariophyceae,Nitzschia,
1231,"d:Eukaryota(1.0000),p:Ochrophyta(0.4600),c:Diatomea(0.3267),o:Bacillariophytina(0.1115),f:Bacillariophyceae(0.0486),g:Psammodictyon(0.0150)",Eukaryota,Ochrophyta,Diatomea,Bacillariophytina,Bacillariophyceae,Psammodictyon,
1232,"d:Eukaryota(0.8994),p:Dinoflagellata(0.1858),c:Dinophyceae(0.1026),o:Gymnodiniphycidae(0.0178),f:Gymnodinium_clade(0.0073),g:Gymnodinium(0.0017)",Eukaryota,Dinoflagellata,Dinophyceae,Gymnodiniphycidae,Gymnodinium_clade,Gymnodinium,
1233,"d:Eukaryota(0.8994),p:Unknown_Phylum_1003810(0.1858),c:Unknown_Class_1003811(0.1026),o:Unknown_Order_1003812(0.0178),f:Unknown_Family_1003813(0.0073),g:Unknown_Genus_1001715(0.0017)",Eukaryota,Unknown_Phylum_1003810,Unknown_Class_1003811,Unknown_Order_1003812,Unknown_Family_1003813,Unknown_Genus_1001715,
1234,"d:Eukaryota(0.7185),p:Basidiomycota(0.1458),c:Agaricomycetes(0.0793),o:Hymenochaetales(0.0145),f:Rickenellaceae(0.0056),g:Skvortzovia(0.0015)",Eukaryota,Basidiomycota,Agaricomycetes,Hymenochaetales,Rickenellaceae,Skvortzovia,
1235,"d:Eukaryota(0.3116),p:Basidiomycota(0.0265),c:Tremellomycetes(0.0115),o:Tremellales(0.0046),f:Tremellaceae(0.0005),g:Tremella(0.0008)",Eukaryota,Basidiomycota,Tremellomycetes,Tremellales,Tremellaceae,Tremella,
1236,"d:Eukaryota(0.6733),p:Annelida(0.1458),c:Polychaeta(0.0793),o:Terebellida(0.0145),f:Unknown_Family_1003328(0.0056),g:Unknown_Genus_1001209(0.0015)",Eukaryota,Annelida,Polychaeta,Terebellida,Unknown_Family_1003328,Unknown_Genus_1001209,
1237,"d:Eukaryota(0.9446),p:Ochrophyta(0.2546),c:Diatomea(0.1259),o:Bacillariophytina(0.0201),f:Bacillariophyceae(0.0084),g:Nitzschia(0.0018)",Eukaryota,Ochrophyta,Diatomea,Bacillariophytina,Bacillariophyceae,Nitzschia,
1238,"d:Eukaryota(1.0000),p:Protalveolata(0.3744),c:Syndiniales(0.2614),o:Unknown_Order_1003905(0.1632),f:Unknown_Family_1003906(0.0854),g:Amoebophrya(0.0269)",Eukaryota,Protalveolata,Syndiniales,Unknown_Order_1003905,Unknown_Family_1003906,Amoebophrya,
1239,"d:Eukaryota(0.6281),p:Dinoflagellata(0.1192),c:Dinophyceae(0.0637),o:Peridiniphycidae(0.0123),f:Thoracosphaeraceae(0.0044),g:Tintinnophagus(0.0014)",Eukaryota,Dinoflagellata,Dinophyceae,Peridiniphycidae,Thoracosphaeraceae,Tintinnophagus,
1240,"d:Eukaryota(0.6959),p:Dinoflagellata(0.1458),c:Dinophyceae(0.0793),o:SCM37C58(0.0134),f:Unknown_Family_1003860(0.0050),g:Unknown_Genus_1001780(0.0015)",Eukaryota,Dinoflagellata,Dinophyceae,SCM37C58,Unknown_Family_1003860,Unknown_Genus_1001780,
1241,"d:Eukaryota(0.8542),p:Cnidaria(0.1858),c:Hydrozoa(0.1026),o:Trachymedusae(0.0178),f:Unknown_Family_1003277(0.0073),g:Unknown_Genus_1001574(0.0017)",Eukaryota,Cnidaria,Hydrozoa,Trachymedusae,Unknown_Family_1003277,Unknown_Genus_1001574,
1242,"d:Eukaryota(0.2664),p:Unknown_Phylum_1002968(0.0184),c:Ulvophyceae(0.0080),o:Unknown_Order_1003017(0.0032),f:Unknown_Family_1003018(0.0004),g:Unknown_Genus_1001105(0.0007)",Eukaryota,Unknown_Phylum_1002968,Ulvophyceae,Unknown_Order_1003017,Unknown_Family_1003018,Unknown_Genus_1001105,
1243,"d:Eukaryota(0.0000),p:Phragmoplastophyta(0.0000),c:Embryophyta(0.0000),o:Malpighiales(0.0000),f:Unknown_Family_1002941(0.0000),g:Hybanthus(0.0000)",Eukaryota,Phragmoplastophyta,Embryophyta,Malpighiales,Unknown_Family_1002941,Hybanthus,
1244,"d:Eukaryota(1.0000),p:Ochrophyta(0.2888),c:Diatomea(0.1798),o:Bacillariophytina(0.0424),f:Bacillariophyceae(0.0209),g:Nitzschia(0.0032)",Eukaryota,Ochrophyta,Diatomea,Bacillariophytina,Bacillariophyceae,Nitzschia,
1245,"d:Eukaryota(0.7185),p:Dinoflagellata(0.1458),c:Dinophyceae(0.0793),o:Gymnodiniphycidae(0.0145),f:Incertae_Sedis_9247(0.0056),g:Cochlodinium(0.0015)",Eukaryota,Dinoflagellata,Dinophyceae,Gymnodiniphycidae,Incertae_Sedis_9247,Cochlodinium,
1246,"d:Eukaryota(0.7185),p:Ciliophora(0.1458),c:Intramacronucleata(0.0793),o:Spirotrichea(0.0145),f:Hypotrichia(0.0056),g:Gonostomum(0.0015)",Eukaryota,Ciliophora,Intramacronucleata,Spirotrichea,Hypotrichia,Gonostomum,
1247,"d:Eukaryota(1.0000),p:Ochrophyta(0.2392),c:Diatomea(0.1337),o:Bacillariophytina(0.0252),f:Bacillariophyceae(0.0117),g:Nitzschia(0.0019)",Eukaryota,Ochrophyta,Diatomea,Bacillariophytina,Bacillariophyceae,Nitzschia,
1248,"d:Eukaryota(0.7411),p:Apicomplexa(0.1592),c:Aconoidasida(0.0793),o:Piroplasmorida(0.0145),f:Unknown_Family_1003818(0.0056),g:Theileria(0.0015)",Eukaryota,Apicomplexa,Aconoidasida,Piroplasmorida,Unknown_Family_1003818,Theileria,
1249,"d:Eukaryota(0.6959),p:Dinoflagellata(0.1325),c:Dinophyceae(0.0715),o:Gymnodiniphycidae(0.0134),f:Incertae_Sedis_9247(0.0050),g:Cochlodinium(0.0015)",Eukaryota,Dinoflagellata,Dinophyceae,Gymnodiniphycidae,Incertae_Sedis_9247,Cochlodinium,
1250,"d:Eukaryota(0.6959),p:Ochrophyta(0.1325),c:Diatomea(0.0715),o:Bacillariophytina(0.0134),f:Bacillariophyceae(0.0050),g:Nitzschia(0.0015)",Eukaryota,Ochrophyta,Diatomea,Bacillariophytina,Bacillariophyceae,Nitzschia,
1251,"d:Eukaryota(0.6959),p:Ciliophora(0.1325),c:Intramacronucleata(0.0715),o:Spirotrichea(0.0134),f:Euplotia(0.0050),g:Discocephalus(0.0015)",Eukaryota,Ciliophora,Intramacronucleata,Spirotrichea,Euplotia,Discocephalus,
1252,"d:Eukaryota(1.0000),p:Ochrophyta(0.3231),c:Chrysophyceae(0.1798),o:Synurales(0.0769),f:Unknown_Family_1004204(0.0394),g:Mallomonas(0.0121)",Eukaryota,Ochrophyta,Chrysophyceae,Synurales,Unknown_Family_1004204,Mallomonas,
1253,"d:Eukaryota(0.7864),p:Dinoflagellata(0.1725),c:Dinophyceae(0.0870),o:Peridiniphycidae(0.0156),f:Thoracosphaeraceae(0.0061),g:Tintinnophagus(0.0016)",Eukaryota,Dinoflagellata,Dinophyceae,Peridiniphycidae,Thoracosphaeraceae,Tintinnophagus,
1254,"d:Eukaryota(0.7638),p:Ciliophora(0.1458),c:Intramacronucleata(0.0793),o:Spirotrichea(0.0145),f:Euplotia(0.0056),g:Diophrys(0.0015)",Eukaryota,Ciliophora,Intramacronucleata,Spirotrichea,Euplotia,Diophrys,
1255,"d:Eukaryota(1.0000),p:Annelida(0.3231),c:Polychaeta(0.2125),o:Terebellida(0.1115),f:Unknown_Family_1003328(0.0578),g:Unknown_Genus_1001209(0.0180)",Eukaryota,Annelida,Polychaeta,Terebellida,Unknown_Family_1003328,Unknown_Genus_1001209,
1256,"d:Eukaryota(0.7638),p:Ciliophora(0.1592),c:Intramacronucleata(0.0870),o:Spirotrichea(0.0156),f:Euplotia(0.0061),g:Diophrys(0.0016)",Eukaryota,Ciliophora,Intramacronucleata,Spirotrichea,Euplotia,Diophrys,
1257,"d:Eukaryota(1.0000),p:Dinoflagellata(0.2392),c:Dinophyceae(0.1337),o:Gymnodiniphycidae(0.0212),f:Unknown_Family_1003853(0.0090),g:Gyrodinium(0.0019)",Eukaryota,Dinoflagellata,Dinophyceae,Gymnodiniphycidae,Unknown_Family_1003853,Gyrodinium,
1258,"d:Eukaryota(0.6959),p:Basidiomycota(0.1592),c:Agaricomycetes(0.0870),o:Cantharellales(0.0145),f:Hydnaceae(0.0056),g:Hydnum(0.0015)",Eukaryota,Basidiomycota,Agaricomycetes,Cantharellales,Hydnaceae,Hydnum,
1259,"d:Eukaryota(0.4925),p:Basidiomycota(0.0792),c:Agaricomycetes(0.0404),o:Trechisporales(0.0089),f:Hydnodontaceae(0.0027),g:uncultured_8267(0.0012)",Eukaryota,Basidiomycota,Agaricomycetes,Trechisporales,Hydnodontaceae,uncultured_8267,
1260,"d:Eukaryota(0.5829),p:Arthropoda(0.0925),c:Insecta(0.0482),o:Lepismatidae(0.0100),f:Unknown_Family_1003404(0.0033),g:Unknown_Genus_1001273(0.0013)",Eukaryota,Arthropoda,Insecta,Lepismatidae,Unknown_Family_1003404,Unknown_Genus_1001273,
