"","OTU","s_A2","s_A3","s_A4","s_B1","s_B2","s_B4","s_C1","s_C2","s_C3","w_A1","w_A2","w_A3","w_A4","w_B1","w_B2","w_B3","w_B4","w_C1","w_C2","w_C3","w_C4","Taxa","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"199",218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d:Eukaryota(0.9446),p:Dinoflagellata(0.2125),c:Dinophyceae(0.1181),o:Gymnodiniphycidae(0.0201),f:Unknown_Family_1003853(0.0084),g:Gyrodinium(0.0019)","Eukaryota","Dinoflagellata","Dinophyceae","Gymnodiniphycidae","Unknown_Family_1003853","Gyrodinium",NA
"200",219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d:Eukaryota(1.0000),p:Ciliophora(0.5645),c:Intramacronucleata(0.5217),o:Spirotrichea(0.3239),f:Hypotrichia(0.1410),g:Holosticha(0.0466)","Eukaryota","Ciliophora","Intramacronucleata","Spirotrichea","Hypotrichia","Holosticha",NA
"201",220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"d:Eukaryota(0.7638),p:Ochrophyta(0.1592),c:Diatomea(0.0870),o:Bacillariophytina(0.0156),f:Bacillariophyceae(0.0061),g:Nitzschia(0.0015)","Eukaryota","Ochrophyta","Diatomea","Bacillariophytina","Bacillariophyceae","Nitzschia",NA
"202",221,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"d:Eukaryota(0.8768),p:Dinoflagellata(0.1858),c:Dinophyceae(0.1026),o:Gymnodiniphycidae(0.0178),f:Unknown_Family_1003853(0.0073),g:Gyrodinium(0.0017)","Eukaryota","Dinoflagellata","Dinophyceae","Gymnodiniphycidae","Unknown_Family_1003853","Gyrodinium",NA
"203",222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d:Eukaryota(0.8316),p:Ochrophyta(0.1858),c:Diatomea(0.1026),o:Bacillariophytina(0.0167),f:Bacillariophyceae(0.0067),g:Nitzschia(0.0017)","Eukaryota","Ochrophyta","Diatomea","Bacillariophytina","Bacillariophyceae","Nitzschia",NA
"204",223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d:Eukaryota(0.7864),p:Ochrophyta(0.1592),c:Diatomea(0.0870),o:Bacillariophytina(0.0156),f:Bacillariophyceae(0.0061),g:Nitzschia(0.0016)","Eukaryota","Ochrophyta","Diatomea","Bacillariophytina","Bacillariophyceae","Nitzschia",NA
"205",224,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d:Eukaryota(1.0000),p:Ochrophyta(0.6278),c:Diatomea(0.5773),o:Coscinodiscophytina(0.2323),f:Fragilariales(0.1223),g:Thalassionema(0.0387)","Eukaryota","Ochrophyta","Diatomea","Coscinodiscophytina","Fragilariales","Thalassionema",NA
"206",225,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"d:Eukaryota(0.9898),p:Dinoflagellata(0.2258),c:Dinophyceae(0.1259),o:Peridiniphycidae(0.0212),f:Peridiniales(0.0090),g:Durinskia(0.0019)","Eukaryota","Dinoflagellata","Dinophyceae","Peridiniphycidae","Peridiniales","Durinskia",NA
"207",226,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"d:Eukaryota(0.8994),p:Cryptomonadales(0.2125),c:Unknown_Class_1003091(0.1181),o:Unknown_Order_1003092(0.0201),f:Unknown_Family_1003093(0.0084),g:Teleaulax(0.0019)","Eukaryota","Cryptomonadales","Unknown_Class_1003091","Unknown_Order_1003092","Unknown_Family_1003093","Teleaulax",NA
"208",227,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d:Eukaryota(0.6959),p:SGUH942(0.1325),c:Unknown_Class_1003913(0.0715),o:Unknown_Order_1003914(0.0134),f:Unknown_Family_1003915(0.0050),g:Unknown_Genus_1001807(0.0015)","Eukaryota","SGUH942","Unknown_Class_1003913","Unknown_Order_1003914","Unknown_Family_1003915","Unknown_Genus_1001807",NA
"209",228,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d:Eukaryota(1.0000),p:Ciliophora(0.2392),c:Intramacronucleata(0.1337),o:Spirotrichea(0.0252),f:Hypotrichia(0.0117),g:Anteholosticha(0.0032)","Eukaryota","Ciliophora","Intramacronucleata","Spirotrichea","Hypotrichia","Anteholosticha",NA
"210",229,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"d:Eukaryota(0.7864),p:Arthropoda(0.1592),c:Arachnida(0.0870),o:Araneae(0.0156),f:Unknown_Family_1003336(0.0061),g:Unknown_Genus_1001216(0.0016)","Eukaryota","Arthropoda","Arachnida","Araneae","Unknown_Family_1003336","Unknown_Genus_1001216",NA
"211",230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d:Eukaryota(1.0000),p:Dinoflagellata(0.3744),c:Dinophyceae(0.2614),o:Gymnodiniphycidae(0.1632),f:Gymnodinium_clade(0.0854),g:Gymnodinium(0.0269)","Eukaryota","Dinoflagellata","Dinophyceae","Gymnodiniphycidae","Gymnodinium_clade","Gymnodinium",NA
"212",232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d:Eukaryota(1.0000),p:Florideophycidae(0.9247),c:Rhodymeniophycidae(0.7942),o:Unknown_Order_1003051(0.8109),f:Unknown_Family_1003052(0.8803),g:Coelothrix(0.1114)","Eukaryota","Florideophycidae","Rhodymeniophycidae","Unknown_Order_1003051","Unknown_Family_1003052","Coelothrix",NA
"213",233,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d:Eukaryota(0.8542),p:Brachiopoda(0.1725),c:Unknown_Class_1003448(0.0948),o:Unknown_Order_1003449(0.0167),f:Unknown_Family_1003450(0.0067),g:Unknown_Genus_1001313(0.0017)","Eukaryota","Brachiopoda","Unknown_Class_1003448","Unknown_Order_1003449","Unknown_Family_1003450","Unknown_Genus_1001313",NA
"214",234,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d:Eukaryota(1.0000),p:Echinodermata(0.9361),c:Holothuroidea(0.9746),o:Unknown_Order_1003470(0.9858),f:Unknown_Family_1003471(0.9667),g:Unknown_Genus_1001363(0.9516)","Eukaryota","Echinodermata","Holothuroidea","Unknown_Order_1003470","Unknown_Family_1003471","Unknown_Genus_1001363",NA
"215",235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d:Eukaryota(0.9898),p:Basidiomycota(0.2717),c:Agaricomycetes(0.1635),o:Hymenochaetales(0.0201),f:Schizoporaceae(0.0084),g:Oxyporus(0.0019)","Eukaryota","Basidiomycota","Agaricomycetes","Hymenochaetales","Schizoporaceae","Oxyporus",NA
"216",236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d:Eukaryota(0.5603),p:Ochrophyta(0.1058),c:Diatomea(0.0559),o:Bacillariophytina(0.0100),f:Bacillariophyceae(0.0033),g:Hantzschia(0.0013)","Eukaryota","Ochrophyta","Diatomea","Bacillariophytina","Bacillariophyceae","Hantzschia",NA
"217",237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d:Eukaryota(0.7638),p:Ciliophora(0.1725),c:Intramacronucleata(0.0948),o:Spirotrichea(0.0167),f:Euplotia(0.0056),g:Diophrys(0.0015)","Eukaryota","Ciliophora","Intramacronucleata","Spirotrichea","Euplotia","Diophrys",NA
"218",238,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d:Eukaryota(1.0000),p:Dinoflagellata(0.3915),c:Dinophyceae(0.2778),o:Incertae_Sedis_9268(0.1805),f:Unknown_Family_1003854(0.0946),g:Azadinium(0.0298)","Eukaryota","Dinoflagellata","Dinophyceae","Incertae_Sedis_9268","Unknown_Family_1003854","Azadinium",NA
"219",240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d:Eukaryota(1.0000),p:Florideophycidae(0.7564),c:Rhodymeniophycidae(0.4661),o:Unknown_Order_1003051(0.3108),f:Unknown_Family_1003052(0.2691),g:Betaphycus(0.0387)","Eukaryota","Florideophycidae","Rhodymeniophycidae","Unknown_Order_1003051","Unknown_Family_1003052","Betaphycus",NA
"220",241,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d:Eukaryota(1.0000),p:Ciliophora(0.3231),c:Intramacronucleata(0.2125),o:Spirotrichea(0.0769),f:Euplotia(0.0209),g:Diophrys(0.0062)","Eukaryota","Ciliophora","Intramacronucleata","Spirotrichea","Euplotia","Diophrys",NA
"221",242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d:Eukaryota(1.0000),p:Mollusca(0.7770),c:Bivalvia(0.9178),o:Myoida(0.7919),f:Unknown_Family_1003495(0.8455),g:Unknown_Genus_1001390(0.8431)","Eukaryota","Mollusca","Bivalvia","Myoida","Unknown_Family_1003495","Unknown_Genus_1001390",NA
"222",243,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"d:Eukaryota(0.9220),p:Cryptomonadales(0.2125),c:Unknown_Class_1003091(0.1181),o:Unknown_Order_1003092(0.0201),f:Unknown_Family_1003093(0.0084),g:Teleaulax(0.0019)","Eukaryota","Cryptomonadales","Unknown_Class_1003091","Unknown_Order_1003092","Unknown_Family_1003093","Teleaulax",NA
"223",244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"d:Eukaryota(1.0000),p:Florideophycidae(0.4257),c:Rhodymeniophycidae(0.1961),o:Unknown_Order_1003051(0.0942),f:Unknown_Family_1003052(0.0486),g:Dictyothamnion(0.0062)","Eukaryota","Florideophycidae","Rhodymeniophycidae","Unknown_Order_1003051","Unknown_Family_1003052","Dictyothamnion",NA
"224",246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d:Eukaryota(1.0000),p:Ochrophyta(0.9691),c:Diatomea(0.9850),o:Bacillariophytina(0.7919),f:Bacillariophyceae(0.8455),g:Psammodictyon(0.1114)","Eukaryota","Ochrophyta","Diatomea","Bacillariophytina","Bacillariophyceae","Psammodictyon",NA
"225",247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d:Eukaryota(1.0000),p:Apicomplexa(0.2888),c:Conoidasida(0.1798),o:Coccidia(0.0769),f:Eimeriorina(0.0394),g:Hyaloklossia(0.0062)","Eukaryota","Apicomplexa","Conoidasida","Coccidia","Eimeriorina","Hyaloklossia",NA
"226",248,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"d:Eukaryota(0.8994),p:Florideophycidae(0.2546),c:Rhodymeniophycidae(0.1259),o:Unknown_Order_1003051(0.0212),f:Unknown_Family_1003052(0.0090),g:Betaphycus(0.0017)","Eukaryota","Florideophycidae","Rhodymeniophycidae","Unknown_Order_1003051","Unknown_Family_1003052","Betaphycus",NA
"227",249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d:Eukaryota(1.0000),p:Cryptomonadales(0.4086),c:Unknown_Class_1003091(0.2941),o:Unknown_Order_1003092(0.1977),f:Unknown_Family_1003093(0.1038),g:Teleaulax(0.0180)","Eukaryota","Cryptomonadales","Unknown_Class_1003091","Unknown_Order_1003092","Unknown_Family_1003093","Teleaulax",NA
"228",250,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"d:Eukaryota(1.0000),p:Ciliophora(0.8451),c:Intramacronucleata(0.9625),o:Spirotrichea(0.9620),f:Euplotia(0.9187),g:Paradiophrys(0.8839)","Eukaryota","Ciliophora","Intramacronucleata","Spirotrichea","Euplotia","Paradiophrys",NA
"229",251,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d:Eukaryota(0.6733),p:Ciliophora(0.1325),c:Intramacronucleata(0.0715),o:Armophorea(0.0123),f:Clevelandellida(0.0044),g:Clevelandella(0.0014)","Eukaryota","Ciliophora","Intramacronucleata","Armophorea","Clevelandellida","Clevelandella",NA
"230",253,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d:Eukaryota(1.0000),p:Dinoflagellata(0.5284),c:Dinophyceae(0.3947),o:Gymnodiniphycidae(0.3022),f:Kareniaceae(0.1693),g:Karenia(0.0588)","Eukaryota","Dinoflagellata","Dinophyceae","Gymnodiniphycidae","Kareniaceae","Karenia",NA
"231",255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d:Eukaryota(0.8994),p:Dinoflagellata(0.1992),c:Dinophyceae(0.1104),o:Gymnodiniphycidae(0.0178),f:Unknown_Family_1003853(0.0073),g:Gyrodinium(0.0017)","Eukaryota","Dinoflagellata","Dinophyceae","Gymnodiniphycidae","Unknown_Family_1003853","Gyrodinium",NA
"232",257,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d:Eukaryota(0.9446),p:Dinoflagellata(0.2258),c:Dinophyceae(0.1259),o:Gymnodiniphycidae(0.0212),f:Unknown_Family_1003853(0.0090),g:Gyrodinium(0.0019)","Eukaryota","Dinoflagellata","Dinophyceae","Gymnodiniphycidae","Unknown_Family_1003853","Gyrodinium",NA
"233",258,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d:Eukaryota(0.6507),p:Ascomycota(0.1192),c:Sordariomycetes(0.0637),o:Hypocreales(0.0123),f:Ophiocordycipitaceae(0.0044),g:Ophiocordyceps(0.0014)","Eukaryota","Ascomycota","Sordariomycetes","Hypocreales","Ophiocordycipitaceae","Ophiocordyceps",NA
"234",259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d:Eukaryota(1.0000),p:Ochrophyta(0.7564),c:Diatomea(0.7942),o:Bacillariophytina(0.3462),f:Bacillariophyceae(0.2124),g:Frustulia(0.0669)","Eukaryota","Ochrophyta","Diatomea","Bacillariophytina","Bacillariophyceae","Frustulia",NA
"235",260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d:Eukaryota(1.0000),p:Dinoflagellata(0.2888),c:Dinophyceae(0.1798),o:Peridiniphycidae(0.0769),f:Thoracosphaeraceae(0.0394),g:uncultured_9329(0.0091)","Eukaryota","Dinoflagellata","Dinophyceae","Peridiniphycidae","Thoracosphaeraceae","uncultured_9329",NA
"236",261,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d:Eukaryota(1.0000),p:Arthropoda(0.4086),c:Arachnida(0.2941),o:Unknown_Order_1003345(0.1287),f:Unknown_Family_1003346(0.0670),g:Unknown_Genus_1001214(0.0210)","Eukaryota","Arthropoda","Arachnida","Unknown_Order_1003345","Unknown_Family_1003346","Unknown_Genus_1001214",NA
"237",263,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d:Eukaryota(0.8768),p:Ciliophora(0.2258),c:Intramacronucleata(0.1259),o:Spirotrichea(0.0201),f:Hypotrichia(0.0078),g:Anteholosticha(0.0018)","Eukaryota","Ciliophora","Intramacronucleata","Spirotrichea","Hypotrichia","Anteholosticha",NA
"238",264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d:Eukaryota(1.0000),p:Annelida(0.2717),c:Polychaeta(0.1635),o:Palpata_Incertae_Sedis_12924(0.0424),f:Unknown_Family_1003319(0.0209),g:Unknown_Genus_1001196(0.0062)","Eukaryota","Annelida","Polychaeta","Palpata_Incertae_Sedis_12924","Unknown_Family_1003319","Unknown_Genus_1001196",NA
"239",266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"d:Eukaryota(0.8768),p:Ochrophyta(0.1992),c:Diatomea(0.1104),o:Bacillariophytina(0.0178),f:Bacillariophyceae(0.0073),g:Nitzschia(0.0017)","Eukaryota","Ochrophyta","Diatomea","Bacillariophytina","Bacillariophyceae","Nitzschia",NA
"240",267,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d:Eukaryota(0.6733),p:Unknown_Phylum_1002968(0.1325),c:Pedinophyceae(0.0715),o:Pedinomonadales(0.0134),f:Unknown_Family_1003002(0.0050),g:Pedinomonas(0.0015)","Eukaryota","Unknown_Phylum_1002968","Pedinophyceae","Pedinomonadales","Unknown_Family_1003002","Pedinomonas",NA
"241",268,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d:Eukaryota(0.9898),p:Dinoflagellata(0.2258),c:Dinophyceae(0.1259),o:Gymnodiniphycidae(0.0212),f:Unknown_Family_1003853(0.0090),g:Gyrodinium(0.0019)","Eukaryota","Dinoflagellata","Dinophyceae","Gymnodiniphycidae","Unknown_Family_1003853","Gyrodinium",NA
"242",269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d:Eukaryota(1.0000),p:Ochrophyta(0.5899),c:Diatomea(0.4661),o:Coscinodiscophytina(0.1977),f:Fragilariales(0.1038),g:Thalassionema(0.0328)","Eukaryota","Ochrophyta","Diatomea","Coscinodiscophytina","Fragilariales","Thalassionema",NA
"243",270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"d:Eukaryota(0.8090),p:Cnidaria(0.1858),c:Anthozoa(0.1026),o:Alcyonacea(0.0178),f:Unknown_Family_1003263(0.0073),g:Unknown_Genus_1001562(0.0017)","Eukaryota","Cnidaria","Anthozoa","Alcyonacea","Unknown_Family_1003263","Unknown_Genus_1001562",NA
"244",271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"d:Eukaryota(1.0000),p:Annelida(0.3573),c:Polychaeta(0.2451),o:Terebellida(0.1460),f:Unknown_Family_1003328(0.0762),g:Unknown_Genus_1001209(0.0239)","Eukaryota","Annelida","Polychaeta","Terebellida","Unknown_Family_1003328","Unknown_Genus_1001209",NA
"245",272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d:Eukaryota(1.0000),p:Ochrophyta(0.5646),c:Diatomea(0.4105),o:Bacillariophytina(0.2150),f:Bacillariophyceae(0.1131),g:Nitzschia(0.0357)","Eukaryota","Ochrophyta","Diatomea","Bacillariophytina","Bacillariophyceae","Nitzschia",NA
"246",274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d:Eukaryota(0.7411),p:Ciliophora(0.1458),c:Intramacronucleata(0.0793),o:Spirotrichea(0.0145),f:Euplotia(0.0056),g:Diophrys(0.0015)","Eukaryota","Ciliophora","Intramacronucleata","Spirotrichea","Euplotia","Diophrys",NA
"247",275,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"d:Eukaryota(1.0000),p:Protalveolata(0.6658),c:Syndiniales(0.6858),o:Unknown_Order_1003905(0.6617),f:Unknown_Family_1003906(0.7373),g:Amoebophrya(0.7251)","Eukaryota","Protalveolata","Syndiniales","Unknown_Order_1003905","Unknown_Family_1003906","Amoebophrya",NA
"248",276,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"d:Eukaryota(0.5603),p:Mollusca(0.0925),c:Gastropoda(0.0482),o:Heterobranchia(0.0100),f:Unknown_Family_1003514(0.0033),g:Unknown_Genus_1001411(0.0013)","Eukaryota","Mollusca","Gastropoda","Heterobranchia","Unknown_Family_1003514","Unknown_Genus_1001411",NA
"249",277,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d:Eukaryota(1.0000),p:Ochrophyta(0.6658),c:Diatomea(0.5773),o:Coscinodiscophytina(0.2323),f:Fragilariales(0.1223),g:Thalassionema(0.0387)","Eukaryota","Ochrophyta","Diatomea","Coscinodiscophytina","Fragilariales","Thalassionema",NA
"250",278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d:Eukaryota(1.0000),p:Ochrophyta(0.7409),c:Diatomea(0.7802),o:Coscinodiscophytina(0.3132),f:Fragilariales(0.1788),g:Licmophora(0.0547)","Eukaryota","Ochrophyta","Diatomea","Coscinodiscophytina","Fragilariales","Licmophora",NA
"251",279,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"d:Eukaryota(0.9220),p:Ochrophyta(0.3231),c:Diatomea(0.2125),o:Bacillariophytina(0.0201),f:Bacillariophyceae(0.0084),g:Nitzschia(0.0019)","Eukaryota","Ochrophyta","Diatomea","Bacillariophytina","Bacillariophyceae","Nitzschia",NA
"252",280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d:Eukaryota(0.8090),p:Ochrophyta(0.1725),c:Diatomea(0.0948),o:Bacillariophytina(0.0156),f:Bacillariophyceae(0.0061),g:Nitzschia(0.0016)","Eukaryota","Ochrophyta","Diatomea","Bacillariophytina","Bacillariophyceae","Nitzschia",NA
"253",282,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"d:Eukaryota(0.7638),p:Cnidaria(0.1858),c:Anthozoa(0.1026),o:Alcyonacea(0.0178),f:Unknown_Family_1003263(0.0073),g:Unknown_Genus_1001562(0.0017)","Eukaryota","Cnidaria","Anthozoa","Alcyonacea","Unknown_Family_1003263","Unknown_Genus_1001562",NA
"254",283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"d:Eukaryota(1.0000),p:Ochrophyta(0.4428),c:Diatomea(0.3267),o:Bacillariophytina(0.1115),f:Bacillariophyceae(0.0578),g:Nitzschia(0.0150)","Eukaryota","Ochrophyta","Diatomea","Bacillariophytina","Bacillariophyceae","Nitzschia",NA
"255",284,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d:Eukaryota(1.0000),p:Annelida(0.2546),c:Polychaeta(0.1472),o:Phyllodocida(0.0212),f:Unknown_Family_1003320(0.0090),g:Unknown_Genus_1001197(0.0019)","Eukaryota","Annelida","Polychaeta","Phyllodocida","Unknown_Family_1003320","Unknown_Genus_1001197",NA
"256",285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d:Eukaryota(0.8768),p:Ciliophora(0.2258),c:Intramacronucleata(0.1259),o:Spirotrichea(0.0212),f:Hypotrichia(0.0073),g:Apokeronopsis(0.0017)","Eukaryota","Ciliophora","Intramacronucleata","Spirotrichea","Hypotrichia","Apokeronopsis",NA
"257",286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"d:Eukaryota(1.0000),p:Unknown_Phylum_1002968(0.4086),c:Chlorophyceae(0.2451),o:Unknown_Order_1002976(0.1115),f:Unknown_Family_1002977(0.0578),g:Unknown_Genus_1001093(0.0180)","Eukaryota","Unknown_Phylum_1002968","Chlorophyceae","Unknown_Order_1002976","Unknown_Family_1002977","Unknown_Genus_1001093",NA
"258",287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d:Eukaryota(0.7638),p:Dinoflagellata(0.1592),c:Dinophyceae(0.0870),o:Gymnodiniphycidae(0.0156),f:Incertae_Sedis_9247(0.0061),g:Cochlodinium(0.0016)","Eukaryota","Dinoflagellata","Dinophyceae","Gymnodiniphycidae","Incertae_Sedis_9247","Cochlodinium",NA
"259",288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"d:Eukaryota(1.0000),p:Ochrophyta(0.6945),c:Diatomea(0.6858),o:Bacillariophytina(0.2495),f:Bacillariophyceae(0.1315),g:Nitzschia(0.0426)","Eukaryota","Ochrophyta","Diatomea","Bacillariophytina","Bacillariophyceae","Nitzschia",NA
"260",289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"d:Eukaryota(1.0000),p:Florideophycidae(0.3915),c:Rhodymeniophycidae(0.1472),o:Unknown_Order_1003051(0.0424),f:Unknown_Family_1003052(0.0209),g:Betaphycus(0.0019)","Eukaryota","Florideophycidae","Rhodymeniophycidae","Unknown_Order_1003051","Unknown_Family_1003052","Betaphycus",NA
"261",290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"d:Eukaryota(0.9220),p:Dinoflagellata(0.2125),c:Dinophyceae(0.1181),o:Prorocentrales(0.0189),f:Unknown_Family_1003856(0.0078),g:Prorocentrum(0.0018)","Eukaryota","Dinoflagellata","Dinophyceae","Prorocentrales","Unknown_Family_1003856","Prorocentrum",NA
"262",291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d:Eukaryota(0.7638),p:Ciliophora(0.1858),c:Intramacronucleata(0.1026),o:Spirotrichea(0.0167),f:Hypotrichia(0.0067),g:Stylonychia(0.0015)","Eukaryota","Ciliophora","Intramacronucleata","Spirotrichea","Hypotrichia","Stylonychia",NA
"263",292,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d:Eukaryota(1.0000),p:Ochrophyta(0.7254),c:Diatomea(0.7400),o:Coscinodiscophytina(0.2668),f:Fragilariales(0.1410),g:Thalassionema(0.0466)","Eukaryota","Ochrophyta","Diatomea","Coscinodiscophytina","Fragilariales","Thalassionema",NA
"264",293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d:Eukaryota(0.7864),p:Phragmoplastophyta(0.1592),c:Embryophyta(0.0870),o:Oxalidales(0.0156),f:Unknown_Family_1002945(0.0061),g:Oxalis(0.0016)","Eukaryota","Phragmoplastophyta","Embryophyta","Oxalidales","Unknown_Family_1002945","Oxalis",NA
"265",294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d:Eukaryota(0.6507),p:Ciliophora(0.1192),c:Intramacronucleata(0.0637),o:Spirotrichea(0.0123),f:Hypotrichia(0.0044),g:Anteholosticha(0.0014)","Eukaryota","Ciliophora","Intramacronucleata","Spirotrichea","Hypotrichia","Anteholosticha",NA
"266",295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d:Eukaryota(0.9446),p:Ochrophyta(0.2546),c:Diatomea(0.1472),o:Coscinodiscophytina(0.0201),f:Fragilariales(0.0084),g:Licmophora(0.0019)","Eukaryota","Ochrophyta","Diatomea","Coscinodiscophytina","Fragilariales","Licmophora",NA
"267",296,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"d:Eukaryota(1.0000),p:Nematoda(0.3915),c:Chromadorea(0.2778),o:Araeolaimida(0.1115),f:Unknown_Family_1003522(0.0578),g:Unknown_Genus_1001419(0.0180)","Eukaryota","Nematoda","Chromadorea","Araeolaimida","Unknown_Family_1003522","Unknown_Genus_1001419",NA
"268",298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d:Eukaryota(1.0000),p:Ochrophyta(0.4771),c:Chrysophyceae(0.3104),o:Synurales(0.2150),f:Unknown_Family_1004204(0.1131),g:Mallomonas(0.0357)","Eukaryota","Ochrophyta","Chrysophyceae","Synurales","Unknown_Family_1004204","Mallomonas",NA
