"","OTU","SAMPLE_123257","SAMPLE_123258","SAMPLE_123259","SAMPLE_123260","SAMPLE_123261","SAMPLE_123262","SAMPLE_123263","SAMPLE_123264","SAMPLE_123265","SAMPLE_123266","SAMPLE_123267","SAMPLE_123268","SAMPLE_123269","SAMPLE_123270","SAMPLE_123271","SAMPLE_123272","SAMPLE_123273","SAMPLE_123274","SAMPLE_123276","SAMPLE_123277","SAMPLE_123278","SAMPLE_123279","SAMPLE_123280","Taxa","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"207",216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"d:Bacteria(1.0000),p:Bacteroidetes(0.5817),c:Sphingobacteriia(0.1849),o:Sphingobacteriales(0.1219),f:Chitinophagaceae(0.0428),g:uncultured_1252(0.0022)","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Chitinophagaceae","uncultured_1252",NA
"208",217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d:Bacteria(1.0000),p:Proteobacteria(0.9705),c:Alphaproteobacteria(0.9782),o:Caulobacterales(0.9828),f:Caulobacteraceae(0.9836),g:Caulobacter(0.8898)","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Caulobacter",NA
"209",218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,"d:Bacteria(1.0000),p:Planctomycetes(0.9949),c:Planctomycetacia(0.9904),o:Planctomycetales(0.9970),f:Planctomycetaceae(0.9974),g:Pirellula(0.9739)","Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Planctomycetaceae","Pirellula",NA
"210",219,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,"d:Bacteria(1.0000),p:Bacteroidetes(0.9913),c:Sphingobacteriia(0.9848),o:Sphingobacteriales(0.9950),f:Chitinophagaceae(0.9957),g:Taibaiella(0.9753)","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Chitinophagaceae","Taibaiella",NA
"211",220,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,"d:Bacteria(1.0000),p:Verrucomicrobia(0.9685),c:Verrucomicrobiae(0.9793),o:Verrucomicrobiales(0.9809),f:DEV007(0.9595),g:Unknown_Genus_1001046(0.9736)","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","DEV007","Unknown_Genus_1001046",NA
"212",221,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d:Bacteria(1.0000),p:Proteobacteria(0.9840),c:Alphaproteobacteria(0.9835),o:SAR11_clade(0.9909),f:Surface_1(0.9075),g:Unknown_Genus_1000743(0.5700)","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11_clade","Surface_1","Unknown_Genus_1000743",NA
"213",222,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d:Bacteria(1.0000),p:Proteobacteria(0.7125),c:Alphaproteobacteria(0.6032),o:Rhodobacterales(0.3524),f:Rhodobacteraceae(0.2201),g:Maribius(0.0176)","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Maribius",NA
"214",223,0,1,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"d:Bacteria(1.0000),p:Proteobacteria(1.0000),c:Alphaproteobacteria(1.0000),o:SAR11_clade(1.0000),f:Surface_4(1.0000),g:Unknown_Genus_1000746(1.0000)","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11_clade","Surface_4","Unknown_Genus_1000746",NA
"215",224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"d:Bacteria(1.0000),p:Proteobacteria(0.9804),c:Deltaproteobacteria(0.9828),o:Desulfobacterales(0.9889),f:Desulfobacteraceae(0.9845),g:Unknown_Genus_1000803(0.2159)","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfobacterales","Desulfobacteraceae","Unknown_Genus_1000803",NA
"216",225,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,"d:Bacteria(1.0000),p:Bacteroidetes(0.9895),c:Flavobacteriia(0.9793),o:Flavobacteriales(0.9809),f:Cryomorphaceae(0.9843),g:Fluviicola(0.9601)","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Cryomorphaceae","Fluviicola",NA
"217",226,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d:Bacteria(1.0000),p:Spirochaetae(0.7152),c:Spirochaetes(0.6106),o:Spirochaetales(0.4582),f:Spirochaetaceae(0.2999),g:Spirochaeta_2(0.0283)","Bacteria","Spirochaetae","Spirochaetes","Spirochaetales","Spirochaetaceae","Spirochaeta_2",NA
"218",227,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,"d:Bacteria(1.0000),p:Proteobacteria(0.9550),c:Gammaproteobacteria(0.9046),o:Xanthomonadales(0.7783),f:JTB255_marine_benthic_group(0.4681),g:Unknown_Genus_1000984(0.3044)","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","JTB255_marine_benthic_group","Unknown_Genus_1000984",NA
"219",228,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d:Bacteria(1.0000),p:Spirochaetae(0.9770),c:Spirochaetes(0.9815),o:Spirochaetales(0.9859),f:Spirochaetaceae(0.9872),g:Spirochaeta_2(0.9741)","Bacteria","Spirochaetae","Spirochaetes","Spirochaetales","Spirochaetaceae","Spirochaeta_2",NA
"220",229,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"d:Bacteria(1.0000),p:Proteobacteria(0.9949),c:Gammaproteobacteria(0.9782),o:Alteromonadales(0.9838),f:Alteromonadaceae(0.9824),g:Glaciecola(0.9601)","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Glaciecola",NA
"221",230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,"d:Bacteria(1.0000),p:Planctomycetes(0.9949),c:Planctomycetacia(0.9904),o:Planctomycetales(0.9970),f:Planctomycetaceae(0.9974),g:Rhodopirellula(0.9741)","Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Planctomycetaceae","Rhodopirellula",NA
"222",231,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d:Bacteria(1.0000),p:Proteobacteria(1.0000),c:Gammaproteobacteria(1.0000),o:Order_Incertae_Sedis_3682(0.9830),f:Family_Incertae_Sedis_3683(0.9834),g:Marinicella(0.9764)","Bacteria","Proteobacteria","Gammaproteobacteria","Order_Incertae_Sedis_3682","Family_Incertae_Sedis_3683","Marinicella",NA
"223",232,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,"d:Bacteria(1.0000),p:Proteobacteria(0.7342),c:Gammaproteobacteria(0.6106),o:Xanthomonadales(0.3877),f:uncultured_3830(0.1934),g:Unknown_Genus_1000986(0.0176)","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","uncultured_3830","Unknown_Genus_1000986",NA
"224",233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,"d:Bacteria(1.0000),p:Bacteroidetes(0.9949),c:Flavobacteriia(0.9904),o:Flavobacteriales(0.9970),f:Flavobacteriaceae(0.9829),g:Lutibacter(0.9132)","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Lutibacter",NA
"225",234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,"d:Bacteria(1.0000),p:Proteobacteria(0.9550),c:Gammaproteobacteria(0.8339),o:Xanthomonadales(0.6943),f:uncultured_3830(0.6043),g:Unknown_Genus_1000986(0.5700)","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","uncultured_3830","Unknown_Genus_1000986",NA
"226",235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"d:Bacteria(1.0000),p:Bacteroidetes(0.9672),c:Sphingobacteriia(0.8339),o:Sphingobacteriales(0.7223),f:Saprospiraceae(0.5123),g:uncultured_1272(0.0533)","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Saprospiraceae","uncultured_1272",NA
"227",236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"d:Bacteria(1.0000),p:Bacteroidetes(0.9582),c:Sphingobacteriia(0.9464),o:Sphingobacteriales(0.9462),f:Saprospiraceae(0.8344),g:uncultured_1272(0.6585)","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Saprospiraceae","uncultured_1272",NA
"228",237,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d:Bacteria(0.9552),p:Cyanobacteria(0.2058),c:Cyanobacteria(0.0609),o:SubsectionIII(0.0212),f:FamilyI_1536(0.0078),g:Prochlorothrix(0.0004)","Bacteria","Cyanobacteria","Cyanobacteria","SubsectionIII","FamilyI_1536","Prochlorothrix",NA
"229",238,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,"d:Bacteria(1.0000),p:Actinobacteria(0.9665),c:Acidimicrobiia(0.9797),o:Acidimicrobiales(0.9796),f:Unknown_Family_1002159(0.9491),g:Unknown_Genus_1000186(0.9734)","Bacteria","Actinobacteria","Acidimicrobiia","Acidimicrobiales","Unknown_Family_1002159","Unknown_Genus_1000186",NA
"230",239,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d:Bacteria(1.0000),p:Bacteroidetes(0.9665),c:Sphingobacteriia(0.7160),o:Sphingobacteriales(0.6244),f:NS11_12_marine_group(0.4500),g:Unknown_Genus_1000336(0.2159)","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","NS11_12_marine_group","Unknown_Genus_1000336",NA
"231",240,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"d:Bacteria(1.0000),p:Bacteroidetes(0.9571),c:Flavobacteriia(0.9573),o:Flavobacteriales(0.9720),f:Flavobacteriaceae(0.9387),g:Aquimarina(0.3930)","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Aquimarina",NA
"232",241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,"d:Bacteria(1.0000),p:Bacteroidetes(0.9731),c:Flavobacteriia(0.9775),o:Flavobacteriales(0.9832),f:Schleiferiaceae(0.9841),g:Schleiferia(0.9751)","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Schleiferiaceae","Schleiferia",NA
"233",242,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"d:Bacteria(1.0000),p:Firmicutes(0.2920),c:Clostridia(0.0942),o:Clostridiales(0.0501),f:Family_XII_1952(0.0103),g:Acidaminobacter(0.0006)","Bacteria","Firmicutes","Clostridia","Clostridiales","Family_XII_1952","Acidaminobacter",NA
"234",243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,"d:Bacteria(1.0000),p:Bacteroidetes(0.9678),c:Sphingobacteriia(0.8339),o:Sphingobacteriales(0.7223),f:Saprospiraceae(0.4500),g:uncultured_1272(0.0386)","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Saprospiraceae","uncultured_1272",NA
"235",244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"d:Bacteria(1.0000),p:Chloroflexi(0.6094),c:uncultured(0.2800),o:Unknown_Order_1002295(0.1747),f:Unknown_Family_1002296(0.0810),g:Unknown_Genus_1000423(0.0048)","Bacteria","Chloroflexi","uncultured","Unknown_Order_1002295","Unknown_Family_1002296","Unknown_Genus_1000423",NA
"236",245,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,"d:Bacteria(1.0000),p:Bacteroidetes(0.9592),c:Cytophagia(0.9302),o:Cytophagales(0.8623),f:Flammeovirgaceae(0.6504),g:Reichenbachiella(0.3044)","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Flammeovirgaceae","Reichenbachiella",NA
"237",246,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,"d:Bacteria(1.0000),p:Proteobacteria(0.9539),c:Gammaproteobacteria(0.8575),o:HOC36(0.6701),f:Unknown_Family_1002613(0.5583),g:Unknown_Genus_1000912(0.4815)","Bacteria","Proteobacteria","Gammaproteobacteria","HOC36","Unknown_Family_1002613","Unknown_Genus_1000912",NA
"238",247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,"d:Bacteria(1.0000),p:Proteobacteria(0.9711),c:Gammaproteobacteria(0.9789),o:Xanthomonadales(0.9771),f:JTB255_marine_benthic_group(0.9699),g:Unknown_Genus_1000984(0.9739)","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","JTB255_marine_benthic_group","Unknown_Genus_1000984",NA
"239",248,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d:Bacteria(1.0000),p:Bacteroidetes(1.0000),c:Flavobacteriia(0.9778),o:Flavobacteriales(0.9830),f:Cryomorphaceae(0.9834),g:Fluviicola(0.9736)","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Cryomorphaceae","Fluviicola",NA
"240",249,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d:Bacteria(1.0000),p:Proteobacteria(0.9691),c:Gammaproteobacteria(0.9782),o:KI89A_clade(0.9783),f:Unknown_Family_1002615(0.9848),g:Unknown_Genus_1000914(0.9744)","Bacteria","Proteobacteria","Gammaproteobacteria","KI89A_clade","Unknown_Family_1002615","Unknown_Genus_1000914",NA
"241",250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,"d:Bacteria(1.0000),p:Lentisphaerae(0.9751),c:SS1_B_03_39(0.9356),o:Unknown_Order_1002459(0.8903),f:Unknown_Family_1002460(0.8971),g:Unknown_Genus_1000599(0.9132)","Bacteria","Lentisphaerae","SS1_B_03_39","Unknown_Order_1002459","Unknown_Family_1002460","Unknown_Genus_1000599",NA
"242",251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d:Bacteria(1.0000),p:Firmicutes(0.8346),c:Clostridia(0.6688),o:Clostridiales(0.5939),f:Defluviitaleaceae(0.2999),g:Defluviitalea(0.0386)","Bacteria","Firmicutes","Clostridia","Clostridiales","Defluviitaleaceae","Defluviitalea",NA
"243",252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,"d:Bacteria(1.0000),p:Planctomycetes(0.9822),c:Planctomycetacia(0.9832),o:Planctomycetales(0.9899),f:Planctomycetaceae(0.9915),g:Rhodopirellula(0.4815)","Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Planctomycetaceae","Rhodopirellula",NA
"244",254,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,"d:Bacteria(1.0000),p:Planctomycetes(0.9840),c:Planctomycetacia(0.9835),o:Planctomycetales(0.9909),f:Planctomycetaceae(0.9923),g:Blastopirellula(0.8194)","Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Planctomycetaceae","Blastopirellula",NA
"245",255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d:Bacteria(1.0000),p:Proteobacteria(1.0000),c:Gammaproteobacteria(0.9782),o:Thiotrichales(0.9826),f:Piscirickettsiaceae(0.9838),g:uncultured_3753(0.8898)","Bacteria","Proteobacteria","Gammaproteobacteria","Thiotrichales","Piscirickettsiaceae","uncultured_3753",NA
"246",256,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,"d:Bacteria(1.0000),p:Bacteroidetes(0.8699),c:Flavobacteriia(0.8810),o:Flavobacteriales(0.7783),f:Flavobacteriaceae(0.7424),g:Ulvibacter(0.0679)","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Ulvibacter",NA
"247",257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d:Bacteria(1.0000),p:Proteobacteria(0.9614),c:Gammaproteobacteria(0.9789),o:Oceanospirillales(0.9733),f:Oceanospirillaceae(0.9387),g:Neptunomonas(0.9367)","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Oceanospirillaceae","Neptunomonas",NA
"248",258,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"d:Bacteria(1.0000),p:Proteobacteria(0.8169),c:FGL7S(0.6254),o:Unknown_Order_1002593(0.5288),f:Unknown_Family_1002594(0.3412),g:Unknown_Genus_1000874(0.0679)","Bacteria","Proteobacteria","FGL7S","Unknown_Order_1002593","Unknown_Family_1002594","Unknown_Genus_1000874",NA
"249",259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,"d:Bacteria(1.0000),p:Latescibacteria(0.9777),c:Unknown_Class_1002406(0.9818),o:Unknown_Order_1002407(0.9862),f:Unknown_Family_1002408(0.9880),g:Unknown_Genus_1000573(0.9886)","Bacteria","Latescibacteria","Unknown_Class_1002406","Unknown_Order_1002407","Unknown_Family_1002408","Unknown_Genus_1000573",NA
"250",260,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"d:Bacteria(1.0000),p:Bacteroidetes(0.9858),c:Flavobacteriia(0.9838),o:Flavobacteriales(0.9919),f:Flavobacteriaceae(0.9838),g:Tenacibaculum(0.5700)","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Tenacibaculum",NA
"251",261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,"d:Bacteria(1.0000),p:Proteobacteria(1.0000),c:Deltaproteobacteria(0.9785),o:Desulfobacterales(0.9836),f:Desulfobacteraceae(0.9827),g:uncultured_3138(0.9734)","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfobacterales","Desulfobacteraceae","uncultured_3138",NA
"252",262,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"d:Bacteria(1.0000),p:Proteobacteria(0.9406),c:Gammaproteobacteria(0.6924),o:Chromatiales(0.6091),f:Chromatiaceae(0.4319),g:Nitrosococcus(0.1411)","Bacteria","Proteobacteria","Gammaproteobacteria","Chromatiales","Chromatiaceae","Nitrosococcus",NA
"253",263,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"d:Bacteria(1.0000),p:Proteobacteria(0.9656),c:Gammaproteobacteria(0.9789),o:Cellvibrionales(0.9462),f:Halieaceae(0.8971),g:OM60_NOR5__clade(0.6585)","Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Halieaceae","OM60_NOR5__clade",NA
"254",264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,"d:Bacteria(1.0000),p:Proteobacteria(0.9560),c:Gammaproteobacteria(0.9046),o:Chromatiales(0.7223),f:Granulosicoccaceae(0.6504),g:Granulosicoccus(0.6585)","Bacteria","Proteobacteria","Gammaproteobacteria","Chromatiales","Granulosicoccaceae","Granulosicoccus",NA
"255",265,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,"d:Bacteria(1.0000),p:Bacteroidetes(0.9614),c:Cytophagia(0.9519),o:Cytophagales(0.9707),f:Flammeovirgaceae(0.9075),g:Candidatus_Amoebophilus(0.8898)","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Flammeovirgaceae","Candidatus_Amoebophilus",NA
"256",266,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"d:Bacteria(1.0000),p:Proteobacteria(0.9665),c:Gammaproteobacteria(0.9793),o:Alteromonadales(0.9720),f:Colwelliaceae(0.9387),g:Colwellia(0.8898)","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Colwelliaceae","Colwellia",NA
"257",267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"d:Bacteria(1.0000),p:Proteobacteria(1.0000),c:Deltaproteobacteria(1.0000),o:Desulfuromonadales(0.9836),f:Desulfuromonadaceae(0.9387),g:Desulfuromusa(0.8898)","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfuromonadales","Desulfuromonadaceae","Desulfuromusa",NA
"258",268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,"d:Bacteria(1.0000),p:Bacteroidetes(0.7992),c:Sphingobacteriia(0.6924),o:Sphingobacteriales(0.6091),f:Saprospiraceae(0.4137),g:uncultured_1272(0.0533)","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Saprospiraceae","uncultured_1272",NA
"259",269,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d:Bacteria(1.0000),p:Actinobacteria(1.0000),c:Acidimicrobiia(1.0000),o:Acidimicrobiales(1.0000),f:OM1_clade(1.0000),g:Candidatus_Actinomarina(0.9749)","Bacteria","Actinobacteria","Acidimicrobiia","Acidimicrobiales","OM1_clade","Candidatus_Actinomarina",NA
"260",270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,"d:Bacteria(1.0000),p:Bacteroidetes(0.7815),c:Sphingobacteriia(0.6688),o:Sphingobacteriales(0.5939),f:Saprospiraceae(0.3956),g:uncultured_1272(0.0212)","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Saprospiraceae","uncultured_1272",NA
"261",271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d:Bacteria(1.0000),p:Bacteroidetes(0.9539),c:Flavobacteriia(0.9410),o:Flavobacteriales(0.9182),f:Flavobacteriaceae(0.7884),g:Wenyingzhuangia(0.1118)","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Wenyingzhuangia",NA
"262",272,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d:Bacteria(1.0000),p:Proteobacteria(0.9968),c:Gammaproteobacteria(0.9936),o:Order_Incertae_Sedis_3682(0.9826),f:Family_Incertae_Sedis_3683(0.9838),g:Marinicella(0.9753)","Bacteria","Proteobacteria","Gammaproteobacteria","Order_Incertae_Sedis_3682","Family_Incertae_Sedis_3683","Marinicella",NA
"263",273,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"d:Bacteria(1.0000),p:Proteobacteria(0.9678),c:Gammaproteobacteria(0.9790),o:Oceanospirillales(0.9796),f:Oceanospirillaceae(0.9699),g:Reinekea(0.9739)","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Oceanospirillaceae","Reinekea",NA
"264",274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,"d:Bacteria(1.0000),p:Bacteroidetes(0.9931),c:Cytophagia(0.9873),o:Order_II(0.9960),f:Rhodothermaceae(0.9966),g:uncultured_1069(0.9749)","Bacteria","Bacteroidetes","Cytophagia","Order_II","Rhodothermaceae","uncultured_1069",NA
"265",275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"d:Bacteria(1.0000),p:Proteobacteria(0.9550),c:Gammaproteobacteria(0.9046),o:Arenicellales(0.7223),f:Arenicellaceae(0.6504),g:Arenicella(0.4815)","Bacteria","Proteobacteria","Gammaproteobacteria","Arenicellales","Arenicellaceae","Arenicella",NA
"266",276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d:Bacteria(1.0000),p:Bacteroidetes(0.8346),c:Bacteroidia(0.8103),o:Bacteroidales(0.6943),f:Marinilabiaceae(0.6043),g:Marinifilum(0.4815)","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Marinilabiaceae","Marinifilum",NA
"267",277,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d:Bacteria(1.0000),p:Lentisphaerae(0.8169),c:Oligosphaeria(0.8103),o:Unknown_Order_1002450(0.6943),f:Unknown_Family_1002451(0.6043),g:Unknown_Genus_1000593(0.5700)","Bacteria","Lentisphaerae","Oligosphaeria","Unknown_Order_1002450","Unknown_Family_1002451","Unknown_Genus_1000593",NA
"268",278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,"d:Bacteria(1.0000),p:Bacteroidetes(0.6647),c:Sphingobacteriia(0.1849),o:Sphingobacteriales(0.1219),f:Saprospiraceae(0.0428),g:uncultured_1272(0.0022)","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Saprospiraceae","uncultured_1272",NA
"269",279,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,"d:Bacteria(1.0000),p:Bacteroidetes(0.9691),c:Sphingobacteriia(0.8575),o:Sphingobacteriales(0.7503),f:Saprospiraceae(0.5583),g:uncultured_1272(0.1264)","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Saprospiraceae","uncultured_1272",NA
"270",280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"d:Bacteria(1.0000),p:Planctomycetes(0.7342),c:Planctomycetacia(0.6924),o:Planctomycetales(0.6091),f:Planctomycetaceae(0.4319),g:Planctomyces(0.0283)","Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Planctomycetaceae","Planctomyces",NA
"271",281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"d:Bacteria(1.0000),p:Bacteroidetes(0.7315),c:Cytophagia(0.6180),o:Cytophagales(0.4935),f:Flammeovirgaceae(0.1934),g:uncultured_1059(0.0140)","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Flammeovirgaceae","uncultured_1059",NA
"272",282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d:Bacteria(1.0000),p:Acidobacteria(0.6094),c:Holophagae(0.4939),o:Subgroup_10(0.2819),f:Sva0725(0.1002),g:Unknown_Genus_1000174(0.0061)","Bacteria","Acidobacteria","Holophagae","Subgroup_10","Sva0725","Unknown_Genus_1000174",NA
"273",283,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d:Bacteria(1.0000),p:Bacteroidetes(0.9685),c:Flavobacteriia(0.9778),o:Flavobacteriales(0.9830),f:NS9_marine_group(0.9838),g:Unknown_Genus_1000316(0.9753)","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","NS9_marine_group","Unknown_Genus_1000316",NA
